1,Aquaman(2018)
2,Alita: Battle Angle
3,The Lego Movie 2
4,Avenger: Infinity war
5,Thor regnarok
6,Captian America: Civil war
7,Slender Man
8,Skyscroper
9,The Darkest Minds
10,The Meg
11,Action Point
12,jurassic World: Fallen kindom
13,Black Panther
14,Mission Imposible: Fallout
15,Mile 22
16,Ant-Man and The Wasp
17,The Grinch
18,Deadpool 2
19,Maze Runner: The Death cure
20,The Predator
21,Incredibles 2
22,The Shawshank Redemption
23,Show_Dogs
24,Sherlock Gnomes
25,Ocean's 8
26,The Happytime Murders
27,Kin
28,Life Of The Party
29,Unfriended: Dark Web
30,Hotel Artemis
31,Sicario: Day of the Soldado
32,The Little Stranger
33,On Chesil Beach
34,The Seagull
35,Adrift
36,Alpha
37,Solo: A Star Wars Story
38,Puzzle
39,Tully
40,Leave No Trace
41,Proud Mary 
42,Revenge
43,Early Man
44,Breaking In
45,Equalizer2
46,Papillon
47,Venom
48,Overboard
49,Uncle Drew
50,The Dark Tower
